image_name,parking_score,area_ratio,object_density,mean_hue,mean_saturation,mean_value,cnn_feature_0,cnn_feature_1,cnn_feature_2,cnn_feature_3,cnn_feature_4,cnn_feature_5,label
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\20250208_182749.jpg,1.0,0.012619671403197159,6.660746003552398e-07,55.6114398312611,32.7805076598579,141.54686278863232,0.035505574,-0.0028738375,0.05209065,0.042700887,0.0037173799,-0.018472819,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\20250208_182820.jpg,12.0,0.02277442273534636,9.991119005328596e-07,71.85373723357016,37.28778086145648,124.33063454706927,0.03708498,7.330673e-05,0.04487483,0.041205294,-0.0012980772,-0.019132258,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\20250208_182825.jpg,28.0,0.035311722912966255,7.770870337477798e-07,74.82296347690941,39.9853164964476,122.07393006216697,0.035342388,-0.0004690662,0.04677988,0.039126568,-0.0028640283,-0.019396992,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\20250208_183139.jpg,5.0,0.005150976909413854,1.1101243339253996e-07,75.35934547069272,35.022286856127884,88.77808781083482,0.03035317,-0.0056783697,0.05004398,0.0442435,0.0022357616,-0.017488688,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\20250208_183145.jpg,0.0,0.0,0.0,65.13078896536412,35.791098468028416,77.3298670071048,0.027845297,-0.0002693357,0.049613647,0.039478175,-0.0015721899,-0.021216966,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\20250208_183154.jpg,3.0,0.010474023090586145,4.4404973357015984e-07,74.53013021758437,33.92813077264653,87.64121858348135,0.030092537,-0.007069071,0.049247697,0.045858674,-0.0012430388,-0.020535477,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\20250208_183220.jpg,0.0,0.0,1.1101243339253996e-07,88.80654296181173,56.776483681172294,71.35539864564831,0.031492483,-0.0009538648,0.04955386,0.042205334,-0.0071198344,-0.020805852,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\20250208_183227.jpg,0.0,0.0,2.2202486678507992e-07,88.39859280639432,43.135011878330374,63.064975577264654,0.031019717,-0.0034964015,0.044404864,0.047265247,-0.0035163565,-0.016549693,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\car-park.jpg,45.0,0.42586245774879206,3.725126091379164e-07,39.549255231401524,63.70058864442496,164.26193468314244,0.043239847,-0.0055590835,0.050435677,0.04701523,-0.0004090534,-0.015215957,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\car-parking-shed-1551249254-3946217.jpg,18.5,0.2982525697503671,0.00010279001468428781,33.50619676945668,68.3807342143906,144.43052863436122,0.034944855,-0.0047111483,0.053633384,0.04621497,-0.0019994532,-0.021449652,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\car-parking-tensile-structures.jpg,25.0,0.206879,1.25e-06,29.77218975,33.031023,158.7892815,0.036077797,-0.001540252,0.057994127,0.050435774,-0.00043252239,-0.019205945,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\Copy of IMG_8786.jpg,30.0,0.07036086493420898,4.903922353255028e-07,46.63853723679014,47.52150292306465,125.89209482812733,0.033871796,-0.0042762966,0.04917878,0.0442346,0.0014541044,-0.011954346,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\Extra-car-parking-registration-in-India.jpg,9.0,0.12996612257468432,1.539882968894364e-05,53.69427548506314,34.16982984293194,149.69615029257776,0.031600647,-0.005137779,0.056832917,0.04880921,-0.0008880452,-0.020721734,0
C:\VIT\3rd-Yr\6th-Sem\E2-Deep Learning\Project\ProjectDraft1\ProjectNoParking\train_data\train\parking2\full-car-parking-lot-mall.jpg,40.0,0.12575725712001784,7.745885385683125e-07,58.38926569393838,104.35329951479774,144.59064719196164,0.034609754,-0.010216728,0.051987097,0.04055865,0.0019403328,-0.019724265,0
